AimAng1,AimAang2,Aimx,Aimy,GV.currentx1,GV.currenty1,GV.startx,GV.starty,GV.finishx,GV.finishy,dist,GV.Set_SteerAng,GV.Steerangle,GV.gogo,GV.ToEndPoint,GVQual
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'4,'4,100.624976853923,101.90338910111532,100.52,100.495,110.0,110.0,220.0,205.0, 0.997,4,0,0,40.0,0
'18,'17,100.89823324521946,102.13938325723498,100.54372620321864,101.01992384757821,110.0,110.0,220.0,205.0, 0.616,17,3,1,39.6,0
'18,'17,100.89823324521946,102.13938325723498,100.54372620321864,101.01992384757821,110.0,110.0,220.0,205.0, 0.616,17,3,1,39.6,0
'18,'17,100.89823324521946,102.13938325723498,100.54372620321864,101.01992384757821,110.0,110.0,220.0,205.0, 0.616,17,3,1,39.6,0
'18,'17,100.89823324521946,102.13938325723498,100.54372620321864,101.01992384757821,110.0,110.0,220.0,205.0, 0.616,17,3,1,39.6,0
'18,'17,100.89823324521946,102.13938325723498,100.54372620321864,101.01992384757821,110.0,110.0,220.0,205.0, 0.616,17,3,1,39.6,0
'18,'17,100.89823324521946,102.13938325723498,100.54372620321864,101.01992384757821,110.0,110.0,220.0,205.0, 0.616,17,3,1,39.6,0
'18,'17,100.89823324521946,102.13938325723498,100.54372620321864,101.01992384757821,110.0,110.0,220.0,205.0, 0.616,17,3,1,39.6,0
'18,'17,100.89823324521946,102.13938325723498,100.54372620321864,101.01992384757821,110.0,110.0,220.0,205.0, 0.616,17,3,1,39.6,0
'18,'17,100.89823324521946,102.13938325723498,100.54372620321864,101.01992384757821,110.0,110.0,220.0,205.0, 0.616,17,3,1,39.6,0
'34,'28,101.15527580645347,102.3613745601189,100.57599043485247,101.50218479526235,110.0,110.0,220.0,205.0, 0.272,28,9,6,39.2,0
'34,'28,101.15527580645347,102.3613745601189,100.57599043485247,101.50218479526235,110.0,110.0,220.0,205.0, 0.272,28,9,6,39.2,0
'34,'28,101.15527580645347,102.3613745601189,100.57599043485247,101.50218479526235,110.0,110.0,220.0,205.0, 0.272,28,9,6,39.2,0
'34,'28,101.15527580645347,102.3613745601189,100.57599043485247,101.50218479526235,110.0,110.0,220.0,205.0, 0.272,28,9,6,39.2,0
'34,'28,101.15527580645347,102.3613745601189,100.57599043485247,101.50218479526235,110.0,110.0,220.0,205.0, 0.272,28,9,6,39.2,0
'34,'28,101.15527580645347,102.3613745601189,100.57599043485247,101.50218479526235,110.0,110.0,220.0,205.0, 0.272,28,9,6,39.2,0
'34,'28,101.15527580645347,102.3613745601189,100.57599043485247,101.50218479526235,110.0,110.0,220.0,205.0, 0.272,28,9,6,39.2,0
'34,'28,101.15527580645347,102.3613745601189,100.57599043485247,101.50218479526235,110.0,110.0,220.0,205.0, 0.272,28,9,6,39.2,0
'34,'28,101.15527580645347,102.3613745601189,100.57599043485247,101.50218479526235,110.0,110.0,220.0,205.0, 0.272,28,9,6,39.2,0
'34,'28,101.15527580645347,102.3613745601189,100.57599043485247,101.50218479526235,110.0,110.0,220.0,205.0, 0.272,28,9,6,39.2,0
'34,'28,101.15527580645347,102.3613745601189,100.57599043485247,101.50218479526235,110.0,110.0,220.0,205.0, 0.272,28,15,14,39.2,0
'52,'38,101.46298812068638,102.62712610422915,100.6769513826523,102.00733265840034,110.0,110.0,220.0,205.0, 0.045,38,15,14,38.8,0
'52,'38,101.46298812068638,102.62712610422915,100.6769513826523,102.00733265840034,110.0,110.0,220.0,205.0, -0.045,38,15,14,38.8,0
'52,'38,101.46298812068638,102.62712610422915,100.6769513826523,102.00733265840034,110.0,110.0,220.0,205.0, -0.045,38,15,14,38.8,0
'52,'38,101.46298812068638,102.62712610422915,100.6769513826523,102.00733265840034,110.0,110.0,220.0,205.0, -0.045,38,15,14,38.8,0
'52,'38,101.46298812068638,102.62712610422915,100.6769513826523,102.00733265840034,110.0,110.0,220.0,205.0, -0.045,38,15,14,38.8,0
'52,'38,101.46298812068638,102.62712610422915,100.6769513826523,102.00733265840034,110.0,110.0,220.0,205.0, -0.045,38,15,14,38.8,0
'52,'38,101.46298812068638,102.62712610422915,100.6769513826523,102.00733265840034,110.0,110.0,220.0,205.0, -0.045,38,15,14,38.8,0
'52,'38,101.46298812068638,102.62712610422915,100.6769513826523,102.00733265840034,110.0,110.0,220.0,205.0, -0.045,38,15,14,38.8,0
'52,'38,101.46298812068638,102.62712610422915,100.6769513826523,102.00733265840034,110.0,110.0,220.0,205.0, -0.045,38,15,14,38.8,0
'59,'25,101.83886212696322,102.95174456419551,100.96654783438768,102.43185144467787,110.0,110.0,220.0,205.0, -0.177,25,35,34,38.5,0
'59,'25,101.83886212696322,102.95174456419551,100.96654783438768,102.43185144467787,110.0,110.0,220.0,205.0, -0.177,25,35,34,38.5,0
'59,'25,101.83886212696322,102.95174456419551,100.96654783438768,102.43185144467787,110.0,110.0,220.0,205.0, -0.177,25,35,34,38.5,0
'59,'25,101.83886212696322,102.95174456419551,100.96654783438768,102.43185144467787,110.0,110.0,220.0,205.0, -0.177,25,35,34,38.5,0
'59,'25,101.83886212696322,102.95174456419551,100.96654783438768,102.43185144467787,110.0,110.0,220.0,205.0, -0.177,25,35,34,38.5,0
'59,'25,101.83886212696322,102.95174456419551,100.96654783438768,102.43185144467787,110.0,110.0,220.0,205.0, -0.177,25,35,34,38.5,0
'59,'25,101.83886212696322,102.95174456419551,100.96654783438768,102.43185144467787,110.0,110.0,220.0,205.0, -0.177,25,35,34,38.5,0
'59,'25,101.83886212696322,102.95174456419551,100.96654783438768,102.43185144467787,110.0,110.0,220.0,205.0, -0.177,25,35,34,38.5,0
'59,'25,101.83886212696322,102.95174456419551,100.96654783438768,102.43185144467787,110.0,110.0,220.0,205.0, -0.177,25,35,34,38.5,0
'59,'25,101.83886212696322,102.95174456419551,100.96654783438768,102.43185144467787,110.0,110.0,220.0,205.0, -0.177,25,35,34,38.5,0
'59,'25,101.83886212696322,102.95174456419551,100.96654783438768,102.43185144467787,110.0,110.0,220.0,205.0, -0.177,25,35,34,38.5,0
'57,'3,102.21802097946957,103.27919993681463,101.36605633157517,102.73574407082411,110.0,110.0,220.0,205.0, -0.146,3,29,54,38.4,0
'57,'3,102.21802097946957,103.27919993681463,101.36605633157517,102.73574407082411,110.0,110.0,220.0,205.0, -0.146,3,29,54,38.4,0
'57,'3,102.21802097946957,103.27919993681463,101.36605633157517,102.73574407082411,110.0,110.0,220.0,205.0, -0.146,3,29,54,38.4,0
'57,'3,102.21802097946957,103.27919993681463,101.36605633157517,102.73574407082411,110.0,110.0,220.0,205.0, -0.146,3,29,54,38.4,0
'57,'3,102.21802097946957,103.27919993681463,101.36605633157517,102.73574407082411,110.0,110.0,220.0,205.0, -0.146,3,29,54,38.4,0
'57,'3,102.21802097946957,103.27919993681463,101.36605633157517,102.73574407082411,110.0,110.0,220.0,205.0, -0.146,3,29,54,38.4,0
'57,'3,102.21802097946957,103.27919993681463,101.36605633157517,102.73574407082411,110.0,110.0,220.0,205.0, -0.146,3,29,54,38.4,0
'57,'3,102.21802097946957,103.27919993681463,101.36605633157517,102.73574407082411,110.0,110.0,220.0,205.0, -0.146,3,29,54,38.4,0
'57,'3,102.21802097946957,103.27919993681463,101.36605633157517,102.73574407082411,110.0,110.0,220.0,205.0, -0.146,3,29,54,38.4,0
'57,'3,102.21802097946957,103.27919993681463,101.36605633157517,102.73574407082411,110.0,110.0,220.0,205.0, -0.146,3,29,54,38.4,0
'54,'-5,102.59180493737031,103.60201335500163,101.77463998192623,103.01826310827914,110.0,110.0,220.0,205.0, -0.092,-5,9,59,38.3,0
'54,'-5,102.59180493737031,103.60201335500163,101.77463998192623,103.01826310827914,110.0,110.0,220.0,205.0, -0.092,-5,9,59,38.3,0
'54,'-5,102.59180493737031,103.60201335500163,101.77463998192623,103.01826310827914,110.0,110.0,220.0,205.0, -0.092,-5,9,59,38.3,0
'54,'-5,102.59180493737031,103.60201335500163,101.77463998192623,103.01826310827914,110.0,110.0,220.0,205.0, -0.092,-5,9,59,38.3,0
'54,'-5,102.59180493737031,103.60201335500163,101.77463998192623,103.01826310827914,110.0,110.0,220.0,205.0, -0.092,-5,9,59,38.3,0
'54,'-5,102.59180493737031,103.60201335500163,101.77463998192623,103.01826310827914,110.0,110.0,220.0,205.0, -0.092,-5,9,59,38.3,0
'54,'-5,102.59180493737031,103.60201335500163,101.77463998192623,103.01826310827914,110.0,110.0,220.0,205.0, -0.092,-5,9,59,38.3,0
'54,'-5,102.59180493737031,103.60201335500163,101.77463998192623,103.01826310827914,110.0,110.0,220.0,205.0, -0.092,-5,9,59,38.3,0
'54,'-5,102.59180493737031,103.60201335500163,101.77463998192623,103.01826310827914,110.0,110.0,220.0,205.0, -0.092,-5,9,59,38.3,0
'54,'-5,102.59180493737031,103.60201335500163,101.77463998192623,103.01826310827914,110.0,110.0,220.0,205.0, -0.092,-5,9,59,38.3,0
'50,'-10,102.9602406151405,103.92020780398498,102.19765268381845,103.27326310827914,110.0,110.0,220.0,205.0, -0.009,-10,3,60,38.3,0
'50,'-10,102.9602406151405,103.92020780398498,102.19765268381845,103.27326310827914,110.0,110.0,220.0,205.0, -0.009,-10,3,60,38.3,0
'50,'-10,102.9602406151405,103.92020780398498,102.19765268381845,103.27326310827914,110.0,110.0,220.0,205.0, -0.009,-10,3,60,38.3,0
'50,'-10,102.9602406151405,103.92020780398498,102.19765268381845,103.27326310827914,110.0,110.0,220.0,205.0, -0.009,-10,3,60,38.3,0
'50,'-10,102.9602406151405,103.92020780398498,102.19765268381845,103.27326310827914,110.0,110.0,220.0,205.0, -0.009,-10,3,60,38.3,0
'50,'-10,102.9602406151405,103.92020780398498,102.19765268381845,103.27326310827914,110.0,110.0,220.0,205.0, -0.009,-10,3,60,38.3,0
'50,'-10,102.9602406151405,103.92020780398498,102.19765268381845,103.27326310827914,110.0,110.0,220.0,205.0, -0.009,-10,3,60,38.3,0
'50,'-10,102.9602406151405,103.92020780398498,102.19765268381845,103.27326310827914,110.0,110.0,220.0,205.0, -0.009,-10,3,60,38.3,0
'50,'-10,102.9602406151405,103.92020780398498,102.19765268381845,103.27326310827914,110.0,110.0,220.0,205.0, -0.009,-10,3,60,38.3,0
'50,'-10,102.9602406151405,103.92020780398498,102.19765268381845,103.27326310827914,110.0,110.0,220.0,205.0, -0.009,-10,3,60,38.3,0
'50,'-10,102.9602406151405,103.92020780398498,102.19765268381845,103.27326310827914,110.0,110.0,220.0,205.0, -0.009,-10,3,60,38.3,0
'44,'-15,103.31749202866254,104.22874311566311,102.6162363341695,103.51078214573417,110.0,110.0,220.0,205.0, -0.085,-15,-3,59,38.3,0
'44,'-15,103.31749202866254,104.22874311566311,102.6162363341695,103.51078214573417,110.0,110.0,220.0,205.0, 0.085,-15,-3,59,38.3,0
'44,'-15,103.31749202866254,104.22874311566311,102.6162363341695,103.51078214573417,110.0,110.0,220.0,205.0, 0.085,-15,-3,59,38.3,0
'44,'-15,103.31749202866254,104.22874311566311,102.6162363341695,103.51078214573417,110.0,110.0,220.0,205.0, 0.085,-15,-3,59,38.3,0
'44,'-15,103.31749202866254,104.22874311566311,102.6162363341695,103.51078214573417,110.0,110.0,220.0,205.0, 0.085,-15,-3,59,38.3,0
'44,'-15,103.31749202866254,104.22874311566311,102.6162363341695,103.51078214573417,110.0,110.0,220.0,205.0, 0.085,-15,-3,59,38.3,0
'44,'-15,103.31749202866254,104.22874311566311,102.6162363341695,103.51078214573417,110.0,110.0,220.0,205.0, 0.085,-15,-3,59,38.3,0
'44,'-15,103.31749202866254,104.22874311566311,102.6162363341695,103.51078214573417,110.0,110.0,220.0,205.0, 0.085,-15,-3,59,38.3,0
'44,'-15,103.31749202866254,104.22874311566311,102.6162363341695,103.51078214573417,110.0,110.0,220.0,205.0, 0.085,-15,-3,59,38.3,0
'44,'-15,103.31749202866254,104.22874311566311,102.6162363341695,103.51078214573417,110.0,110.0,220.0,205.0, 0.085,-15,-3,59,38.3,0
'41,'-13,103.69821301134641,104.55754760070826,103.03574483135698,103.7946747718804,110.0,110.0,220.0,205.0, 0.144,-13,-9,54,38.2,0
'41,'-13,103.69821301134641,104.55754760070826,103.03574483135698,103.7946747718804,110.0,110.0,220.0,205.0, 0.144,-13,-9,54,38.2,0
'41,'-13,103.69821301134641,104.55754760070826,103.03574483135698,103.7946747718804,110.0,110.0,220.0,205.0, 0.144,-13,-9,54,38.2,0
'41,'-13,103.69821301134641,104.55754760070826,103.03574483135698,103.7946747718804,110.0,110.0,220.0,205.0, 0.144,-13,-9,54,38.2,0
